394,00:1a:dd:f5:df:c4,,2437,1.26E-04,32.10494483,35.2104469,717.6172124,03/12/2017 08:49
387,00:1a:dd:f5:df:c5,Afikim_Wifi,2437,2.42E-04,32.1048821,35.21037361,704.0554242,03/12/2017 08:49
343,00:1a:dd:f5:e2:e4,,2447,3.76E-04,32.10468232,35.20992543,710.2256059,03/12/2017 08:45
344,00:1a:dd:f5:e2:e5,Afikim_Wifi,2447,4.02E-04,32.1048711,35.21030649,708.0484871,03/12/2017 08:45
118,00:1a:dd:f5:e9:24,PEPWAVE_C99D,2412,5.93E-04,32.10546047,35.21025745,689.4884991,03/12/2017 08:39
114,00:1a:dd:f5:e9:25,Afikim-73925,2412,5.97E-04,32.1059381,35.21049717,688.6699202,03/12/2017 08:39
285,00:1d:aa:81:d8:3c,KCG-ADSL,2422,5.97E-04,32.10285988,35.20980582,697.7385047,03/12/2017 08:41
12,00:21:04:4c:2a:a2,Yan,2437,1.26E-04,32.10252819,35.2073457,700.1622739,03/12/2017 08:37
3,00:25:86:cc:00:f8,AUC_54_R,2432,4.78E-04,32.10357394,35.20799725,693.6479258,03/12/2017 08:38
80,00:25:86:cc:07:b2,KCG_54,2417,2.64E-04,32.10410016,35.20842792,703.2732684,03/12/2017 08:38
136,00:27:19:13:fc:a4,KCG_20,2462,3.83E-04,32.10539695,35.21190219,689.9479399,03/12/2017 08:39
2,00:27:19:e3:2d:fe,AUC_51_3,2412,1.35E-04,32.1025333,35.20726399,699.2877605,03/12/2017 08:37
106,00:27:22:f3:a6:9a,,2437,2.71E-04,32.10580185,35.2101048,688.5497027,03/12/2017 08:38
211,00:27:22:f3:bb:2b,,2437,3.94E-04,32.10405974,35.20942539,705.4863232,03/12/2017 08:41
74,00:27:22:f3:bb:3a,,2437,1.35E-04,32.10353355,35.20781292,690.579513,03/12/2017 08:38
75,00:27:22:f3:bb:86,,2437,2.85E-04,32.10375725,35.20784016,690.4441103,03/12/2017 08:38
89,00:27:22:f3:e0:83,,2412,1.29E-04,32.10473074,35.20808402,689.6319853,03/12/2017 08:38
